block,covariate,smd_newSanc_vs_never,smd_newSanc_vs_vint2014,smd_newCond_vs_never,smd_newCond_vs_vint2014,flag_newSanc_vs_never,flag_newSanc_vs_vint2014,flag_newCond_vs_never,flag_newCond_vs_vint2014
A. Absorption capacity,log GDP,,,-0.681944474029916,-0.766133301412662,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,log population,,,-1.04613334763829,-0.42489098361798,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,GDP per capita,,,0.700264472033332,-0.781159117798284,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,log distance to Russia,,,0.573223675592971,0.783712205669149,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,Region: Europe,,,0.131131300795164,-0.89683064697932,"","",>0.10 concern,>0.25 strong
A. Absorption capacity,Region: Asia,,,-0.301673571642838,0.123136150908053,"","",>0.25 strong,>0.10 concern
A. Absorption capacity,Region: Africa,,,-0.437837326713137,0.241264713782386,"","",>0.25 strong,>0.10 concern
A. Absorption capacity,Region: Americas,,,0.559625544861722,0.395342415417557,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,Region: Oceania,,,0.482731169457238,0.0483006953932238,"","",>0.25 strong,ok
A. Absorption capacity,Russian energy dependence,,,-0.427485161839882,-0.44209422773521,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,Pre-2014 exposure to Russia,,,-0.463321146595758,-0.368215655030116,"","",>0.25 strong,>0.25 strong
A. Absorption capacity,Non-strategic trade share,,,0.409628742701472,0.242248727971686,"","",>0.25 strong,>0.10 concern
B. Western anchoring (descriptive),Ideal-point distance to Russia,,,-0.433282948866239,-0.483855960063446,"","",>0.25 strong,>0.25 strong
B. Western anchoring (descriptive),EU member,,,,-0.889852085851282,"","","",>0.25 strong
B. Western anchoring (descriptive),NATO member,,,,-0.93453161516125,"","","",>0.25 strong
B. Western anchoring (descriptive),Polyarchy (democracy),,,0.825592299163912,-0.598623840147228,"","",>0.25 strong,>0.25 strong
