cell,year,estimate,se,ci_lo,ci_hi,p
a_both,2010,0.0591868032755776,0.0450268395067819,-0.029065802157715,0.14743940870887,0.18868529724323
a_both,2011,-0.0133825415640306,0.039912596170158,-0.0916112300575404,0.0648461469294791,0.737401664947041
a_both,2012,-0.00323790400204164,0.0341120360673509,-0.0700974946940494,0.0636216866899661,0.924378614135716
a_both,2014,-0.0437569500099626,0.0428597381062019,-0.127762036698118,0.0402481366781931,0.30728586240975
a_both,2015,-0.231231807280238,0.0615518884247835,-0.351873508592814,-0.110590105967663,0.000172170605294571
a_both,2016,-0.416646750273156,0.0746746699997052,-0.563009103472578,-0.270284397073734,2.41221548832189e-08
a_both,2017,-0.372928127696179,0.0635232662329822,-0.497433729512825,-0.248422525879534,4.338728528903e-09
a_both,2018,-0.437449648073954,0.0560353008822128,-0.547278837803091,-0.327620458344817,5.87142148314579e-15
a_both,2019,-0.426707364083687,0.0620323526964347,-0.548290775368699,-0.305123952798675,6.03641810104538e-12
a_both,2020,-0.575568436569006,0.0894033932581151,-0.750799087354911,-0.4003377857831,1.21152657070076e-10
a_both,2021,-0.531765526815143,0.0812685637871056,-0.691051911837869,-0.372479141792416,6.01713206551648e-11
b_condemn_only,2010,0.14274167623217,0.0940728658340478,-0.0416411408025633,0.327124493266904,0.129177768554717
b_condemn_only,2011,-0.00480406221938069,0.0701772988834408,-0.142351568030925,0.132743443592163,0.945422587534293
b_condemn_only,2012,-0.040948422099273,0.0547601716071592,-0.148278358449305,0.0663815142507589,0.45459439916635
b_condemn_only,2014,-0.0245230774492881,0.0533251893900313,-0.129040448653749,0.0799942937551732,0.645603845993411
b_condemn_only,2015,-0.0368380611240925,0.0640909997119493,-0.162456420559513,0.0887802983113282,0.565441822121551
b_condemn_only,2016,-0.194544487739418,0.110219861677521,-0.410575416627359,0.0214864411485224,0.0775539587812283
b_condemn_only,2017,-0.129862684614106,0.0936522736896343,-0.313421141045789,0.0536957718175778,0.16554929802631
b_condemn_only,2018,-0.0726955628008488,0.0643946192143419,-0.198909016460959,0.0535178908592615,0.258936894524611
b_condemn_only,2019,-0.0897137320203914,0.0621711023593176,-0.211569092644654,0.032141628603871,0.149016704550017
b_condemn_only,2020,-0.0837114871041426,0.0840899502916762,-0.248527789675828,0.0811048154675427,0.319493481946235
b_condemn_only,2021,-0.0667720953010098,0.0837499454859965,-0.230921988453563,0.0973777978515433,0.425288857668149
c_sanction_only,2010,-0.060959991932523,0.0598630175942001,-0.178291506417155,0.0563715225521093,0.308523654092528
c_sanction_only,2011,0.0226049572601413,0.0485357282520348,-0.072525070113847,0.117734984634129,0.64140269105579
c_sanction_only,2012,-0.0913479052062173,0.0347220530249698,-0.159403129135158,-0.0232926812772766,0.00851760069816968
c_sanction_only,2014,-0.222002638302455,0.0410960088396502,-0.302550815628169,-0.141454460976741,6.58840814898791e-08
c_sanction_only,2015,-0.338408447460867,0.0571563959077092,-0.450434983439977,-0.226381911481757,3.20486387543187e-09
c_sanction_only,2016,-0.576181561150422,0.0728409294091271,-0.718949782792311,-0.433413339508533,2.57110609050929e-15
c_sanction_only,2017,-0.502042527107181,0.0646500409437762,-0.628756607356983,-0.37532844685738,8.12976244383881e-15
c_sanction_only,2018,-0.707646697952218,0.0601798806058109,-0.825599263939608,-0.589694131964829,6.35881980218812e-32
c_sanction_only,2019,-1.24828866855953,0.0616544285233451,-1.36913134846528,-1.12744598865377,3.81108235051527e-91
c_sanction_only,2020,-1.23329044472474,0.0781130588356264,-1.38639204004257,-1.08018884940691,3.73169898898956e-56
c_sanction_only,2021,-1.18108608472094,0.078569940265783,-1.33508316764188,-1.02708900180001,4.51139879411959e-51
non_russia,2010,-0.254155199171665,0.10233255895417,-0.454727014721837,-0.0535833836214926,0.0130054474932108
non_russia,2011,-0.418586856520014,0.124171788812535,-0.661963562592583,-0.175210150447445,0.000748876337249288
non_russia,2012,-0.234475962447024,0.132332764766837,-0.493848181390025,0.0248962564959772,0.0764167585051109
non_russia,2014,-0.138518416152079,0.15364209348725,-0.439656919387088,0.162620087082931,0.367287706359918
non_russia,2015,-0.157809702272924,0.191383627239618,-0.532921611662575,0.217302207116727,0.409614261346876
non_russia,2016,-0.241090445136658,0.231236569172633,-0.694314120715019,0.212133230441703,0.297127181117219
non_russia,2017,-0.205862359167907,0.210614396455437,-0.618666576220563,0.206941857884749,0.328352722879709
non_russia,2018,-0.165338375143986,0.18473595101199,-0.527420839127486,0.196744088839513,0.370787959004615
non_russia,2019,-0.322995608854413,0.11316401991831,-0.544797087894301,-0.101194129814525,0.00431419235766896
non_russia,2020,-0.297785168887295,0.102786377504426,-0.49924646879597,-0.0963238689786189,0.00376597509428931
non_russia,2021,-0.396270152671231,0.0717116143798606,-0.536824916855758,-0.255715388486704,3.27828343852221e-08
