window,term,rel_time,estimate,se,ci_lo,ci_hi
2010_2021,event_time,-4,0.0268496899007356,0.0472264703073791,-0.0657141919017274,0.119413571703199
2010_2021,event_time,-3,-0.000341117759046969,0.0388825807504709,-0.0765509760299699,0.0758687405118759
2010_2021,event_time,-2,0.013273484448253,0.034553380032984,-0.0544511404163956,0.0809981093129017
2010_2021,event_time,0,-0.102425429566514,0.0378895275133981,-0.176688903492774,-0.0281619556402539
2010_2021,event_time,1,-0.268431068480239,0.0477588739403981,-0.362038461403419,-0.174823675557059
2010_2021,event_time,2,-0.418889282308641,0.0509985222438207,-0.51884638590653,-0.318932178710752
2010_2021,event_time,3,-0.392978366678299,0.0480917816632002,-0.487238258738172,-0.298718474618427
2010_2021,event_time,4,-0.472503027411283,0.042971019689045,-0.556726226001811,-0.388279828820754
2010_2021,event_time,5,-0.447935885851708,0.0553981107301276,-0.556516182882758,-0.339355588820658
2010_2021,event_time,6,-0.56506319773044,0.078083600420092,-0.71810705455382,-0.41201934090706
2008_2023,event_time,-5,0.156017922110503,0.0554926348077376,0.0472523578873375,0.264783486333669
2008_2023,event_time,-4,0.0532636269362714,0.0438271047303324,-0.0326374983351802,0.139164752207723
2008_2023,event_time,-3,0.0118486975012654,0.0347343412314701,-0.0562306113124159,0.0799280063149467
2008_2023,event_time,-2,0.0247272399239127,0.0307934926738325,-0.035628005716799,0.0850824855646245
2008_2023,event_time,0,-0.105065110513138,0.0347755202772297,-0.173225130256508,-0.0369050907697674
2008_2023,event_time,1,-0.260262855999018,0.0424144044748922,-0.343395088769807,-0.177130623228229
2008_2023,event_time,2,-0.417801600525498,0.0509981596497938,-0.517757993439093,-0.317845207611902
2008_2023,event_time,3,-0.389277887030145,0.0476086874490608,-0.482590914430304,-0.295964859629985
2008_2023,event_time,4,-0.463537947085618,0.0442802093135014,-0.550327157340081,-0.376748736831155
2008_2023,event_time,5,-0.889162063303163,0.0974551711498178,-1.08017419875681,-0.69814992784952
2010_2021,ATT,,-0.404161181969695,0.0413925574879209,-0.485290594646021,-0.32303176929337
2008_2023,ATT,,-0.600477385388286,0.0547799282903516,-0.707846044837375,-0.493108725939197
