lb,ub,method,Delta,Mbar,cell,breakdown_Mbar
-0.742425846979938,0.0198509584753994,relative_magnitudes,DeltaRM,0,b_condemn_only,0
-0.750366230370097,0.0198509584753994,relative_magnitudes,DeltaRM,0.05,b_condemn_only,0
-0.758306613760257,0.0277913418655591,relative_magnitudes,DeltaRM,0.1,b_condemn_only,0
-0.766246997150417,0.0357317252557188,relative_magnitudes,DeltaRM,0.15,b_condemn_only,0
-0.774187380540577,0.0436721086458789,relative_magnitudes,DeltaRM,0.2,b_condemn_only,0
-0.782127763930737,0.0516124920360381,relative_magnitudes,DeltaRM,0.25,b_condemn_only,0
-0.790068147320896,0.0516124920360381,relative_magnitudes,DeltaRM,0.3,b_condemn_only,0
-0.798008530711056,0.0595528754261983,relative_magnitudes,DeltaRM,0.35,b_condemn_only,0
-0.805948914101216,0.0674932588163584,relative_magnitudes,DeltaRM,0.4,b_condemn_only,0
-0.813889297491376,0.0754336422065176,relative_magnitudes,DeltaRM,0.45,b_condemn_only,0
-0.829770064271695,0.0833740255966777,relative_magnitudes,DeltaRM,0.5,b_condemn_only,0
-0.837710447661855,0.091314408986837,relative_magnitudes,DeltaRM,0.55,b_condemn_only,0
-0.845650831052015,0.0992547923769971,relative_magnitudes,DeltaRM,0.6,b_condemn_only,0
-0.853591214442174,0.107195175767157,relative_magnitudes,DeltaRM,0.65,b_condemn_only,0
-0.861531597832334,0.115135559157316,relative_magnitudes,DeltaRM,0.7,b_condemn_only,0
-0.869471981222494,0.123075942547477,relative_magnitudes,DeltaRM,0.75,b_condemn_only,0
-0.885352748002814,0.131016325937636,relative_magnitudes,DeltaRM,0.8,b_condemn_only,0
-0.893293131392973,0.138956709327796,relative_magnitudes,DeltaRM,0.85,b_condemn_only,0
-0.901233514783133,0.146897092717956,relative_magnitudes,DeltaRM,0.9,b_condemn_only,0
-0.909173898173293,0.154837476108115,relative_magnitudes,DeltaRM,0.95,b_condemn_only,0
-0.925054664953612,0.170718242888435,relative_magnitudes,DeltaRM,1,b_condemn_only,0
-0.932995048343772,0.178658626278595,relative_magnitudes,DeltaRM,1.05,b_condemn_only,0
-0.940935431733932,0.186599009668755,relative_magnitudes,DeltaRM,1.1,b_condemn_only,0
-0.956816198514251,0.194539393058914,relative_magnitudes,DeltaRM,1.15,b_condemn_only,0
-0.964756581904411,0.202479776449074,relative_magnitudes,DeltaRM,1.2,b_condemn_only,0
-1.42676108206628,-0.696074813622634,relative_magnitudes,DeltaRM,0,a_both,1.2
-1.43445251647095,-0.680691944813294,relative_magnitudes,DeltaRM,0.05,a_both,1.2
-1.44983538528029,-0.673000510408624,relative_magnitudes,DeltaRM,0.1,a_both,1.2
-1.45752681968496,-0.665309076003954,relative_magnitudes,DeltaRM,0.15,a_both,1.2
-1.46521825408963,-0.649926207194614,relative_magnitudes,DeltaRM,0.2,a_both,1.2
-1.4729096884943,-0.642234772789944,relative_magnitudes,DeltaRM,0.25,a_both,1.2
-1.48829255730364,-0.626851903980604,relative_magnitudes,DeltaRM,0.3,a_both,1.2
-1.49598399170831,-0.611469035171264,relative_magnitudes,DeltaRM,0.35,a_both,1.2
-1.50367542611298,-0.603777600766594,relative_magnitudes,DeltaRM,0.4,a_both,1.2
-1.51905829492232,-0.588394731957254,relative_magnitudes,DeltaRM,0.45,a_both,1.2
-1.52674972932699,-0.580703297552584,relative_magnitudes,DeltaRM,0.5,a_both,1.2
-1.53444116373166,-0.565320428743244,relative_magnitudes,DeltaRM,0.55,a_both,1.2
-1.549824032541,-0.549937559933905,relative_magnitudes,DeltaRM,0.6,a_both,1.2
-1.56520690135034,-0.534554691124564,relative_magnitudes,DeltaRM,0.65,a_both,1.2
-1.57289833575501,-0.526863256719894,relative_magnitudes,DeltaRM,0.7,a_both,1.2
-1.58828120456435,-0.511480387910555,relative_magnitudes,DeltaRM,0.75,a_both,1.2
-1.59597263896902,-0.496097519101214,relative_magnitudes,DeltaRM,0.8,a_both,1.2
-1.61135550777836,-0.480714650291874,relative_magnitudes,DeltaRM,0.85,a_both,1.2
-1.6267383765877,-0.465331781482535,relative_magnitudes,DeltaRM,0.9,a_both,1.2
-1.64212124539704,-0.449948912673194,relative_magnitudes,DeltaRM,0.95,a_both,1.2
-1.64981267980171,-0.434566043863855,relative_magnitudes,DeltaRM,1,a_both,1.2
-1.66519554861105,-0.419183175054515,relative_magnitudes,DeltaRM,1.05,a_both,1.2
-1.68057841742039,-0.403800306245175,relative_magnitudes,DeltaRM,1.1,a_both,1.2
-1.69596128622973,-0.380726003031165,relative_magnitudes,DeltaRM,1.15,a_both,1.2
-1.71134415503907,-0.365343134221825,relative_magnitudes,DeltaRM,1.2,a_both,1.2
