lb,ub,method,Delta,Mbar,estimand,breakdown_Mbar,M
-0.510000776573826,-0.34477738449371,relative_magnitudes,DeltaRM,0,ATT_post_k>=1,0.963461538461539,
-0.518430541475872,-0.341405478532892,relative_magnitudes,DeltaRM,0.05,ATT_post_k>=1,0.963461538461539,
-0.530232212338738,-0.334661666611254,relative_magnitudes,DeltaRM,0.1,ATT_post_k>=1,0.963461538461539,
-0.543719836182012,-0.327917854689617,relative_magnitudes,DeltaRM,0.15,ATT_post_k>=1,0.963461538461539,
-0.560579365986106,-0.316116183826751,relative_magnitudes,DeltaRM,0.2,ATT_post_k>=1,0.963461538461539,
-0.579124848770609,-0.299256654022658,relative_magnitudes,DeltaRM,0.25,ATT_post_k>=1,0.963461538461539,
-0.597670331555111,-0.282397124218565,relative_magnitudes,DeltaRM,0.3,ATT_post_k>=1,0.963461538461539,
-0.617901767320023,-0.262165688453653,relative_magnitudes,DeltaRM,0.35,ATT_post_k>=1,0.963461538461539,
-0.638133203084935,-0.24193425268874,relative_magnitudes,DeltaRM,0.4,ATT_post_k>=1,0.963461538461539,
-0.660050591830257,-0.221702816923828,relative_magnitudes,DeltaRM,0.45,ATT_post_k>=1,0.963461538461539,
-0.681967980575578,-0.201471381158916,relative_magnitudes,DeltaRM,0.5,ATT_post_k>=1,0.963461538461539,
-0.70219941634049,-0.179553992413595,relative_magnitudes,DeltaRM,0.55,ATT_post_k>=1,0.963461538461539,
-0.724116805085812,-0.157636603668273,relative_magnitudes,DeltaRM,0.6,ATT_post_k>=1,0.963461538461539,
-0.746034193831133,-0.137405167903361,relative_magnitudes,DeltaRM,0.65,ATT_post_k>=1,0.963461538461539,
-0.767951582576455,-0.11548777915804,relative_magnitudes,DeltaRM,0.7,ATT_post_k>=1,0.963461538461539,
-0.789868971321776,-0.0935703904127184,relative_magnitudes,DeltaRM,0.75,ATT_post_k>=1,0.963461538461539,
-0.811786360067097,-0.071653001667397,relative_magnitudes,DeltaRM,0.8,ATT_post_k>=1,0.963461538461539,
-0.833703748812419,-0.0497356129220755,relative_magnitudes,DeltaRM,0.85,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,-0.0278182241767542,relative_magnitudes,DeltaRM,0.9,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,-0.00590083543143272,relative_magnitudes,DeltaRM,0.95,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,0.0160165533138887,relative_magnitudes,DeltaRM,1,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,0.0379339420592102,relative_magnitudes,DeltaRM,1.05,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,0.0598513308045315,relative_magnitudes,DeltaRM,1.1,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,0.081768719549853,relative_magnitudes,DeltaRM,1.15,ATT_post_k>=1,0.963461538461539,
-0.842133513714466,0.105372061275584,relative_magnitudes,DeltaRM,1.2,ATT_post_k>=1,0.963461538461539,
-0.553483755686446,-0.246795817498723,smoothness,DeltaSD,,ATT_post_k>=1,,0
-2.02249868985696,1.28669310707309,smoothness,DeltaSD,,ATT_post_k>=1,,0.1
-3.40583202318512,2.67002644040125,smoothness,DeltaSD,,ATT_post_k>=1,,0.2
-4.78916535651328,4.05335977372941,smoothness,DeltaSD,,ATT_post_k>=1,,0.3
