tercile,rel_time,estimate,se,ci_lo,ci_hi
T2_mid,-5,-0.0689356504071445,0.110036389160827,-0.284606973162366,0.146735672348077
T2_mid,-4,-0.00449139779745607,0.0880875678805439,-0.177143030843322,0.16816023524841
T2_mid,-3,-0.0779330773322334,0.104331702825144,-0.282423214869516,0.126557060205049
T2_mid,-2,-0.0382312515068942,0.0754598078239612,-0.186132474841858,0.10966997182807
T2_mid,0,-0.0853979183513332,0.0406072224516659,-0.164988074356598,-0.00580776234606809
T2_mid,1,-0.24547943445984,0.0584315817341535,-0.360005334658781,-0.130953534260899
T2_mid,2,-0.317433104127998,0.074106031405498,-0.462680925682774,-0.172185282573222
T2_mid,3,-0.353515158023297,0.076654883491422,-0.503758729666484,-0.20327158638011
T2_mid,4,-0.420422418938404,0.0899034170645088,-0.596633116384842,-0.244211721491967
T2_mid,5,-0.64713252667003,0.105852185064118,-0.854602809395702,-0.439662243944358
T3_high,-5,0.190268578307921,0.0566554504453856,0.0792238954349653,0.301313261180877
T3_high,-4,0.0593946941992264,0.0436530161951257,-0.0261652175432201,0.144954605941673
T3_high,-3,0.0173309159209239,0.0343330352572755,-0.0499618331833361,0.0846236650251839
T3_high,-2,0.0293472449090765,0.0305319412323576,-0.0304953599063444,0.0891898497244975
T3_high,0,-0.106507392395271,0.0352990221030662,-0.175693475717281,-0.0373213090732617
T3_high,1,-0.260745005136564,0.0437189786776608,-0.346434203344779,-0.175055806928349
T3_high,2,-0.421059327075265,0.0516589166184092,-0.522310803647347,-0.319807850503183
T3_high,3,-0.389649559461818,0.0484096327354235,-0.484532439623248,-0.294766679300388
T3_high,4,-0.465010572721434,0.0456692177347479,-0.55452223948154,-0.375498905961328
T3_high,5,-0.899275132320054,0.0994484638086524,-1.09419412138501,-0.704356143255095
all (uncond.),-5,0.156017922110505,0.0554926348077375,0.0472523578873392,0.26478348633367
all (uncond.),-4,0.0532636269362772,0.0438271047303322,-0.032637498335174,0.139164752207728
all (uncond.),-3,0.0118486975012689,0.0347343412314702,-0.0562306113124126,0.0799280063149504
all (uncond.),-2,0.0247272399239153,0.0307934926738327,-0.0356280057167968,0.0850824855646274
all (uncond.),0,-0.105065110513134,0.0347755202772293,-0.173225130256503,-0.0369050907697646
all (uncond.),1,-0.260262855999015,0.0424144044748918,-0.343395088769803,-0.177130623228227
all (uncond.),2,-0.417801600525493,0.0509981596497934,-0.517757993439088,-0.317845207611898
all (uncond.),3,-0.389277887030141,0.0476086874490607,-0.4825909144303,-0.295964859629982
all (uncond.),4,-0.463537947085611,0.044280209313501,-0.550327157340073,-0.376748736831149
all (uncond.),5,-0.889162063303158,0.0974551711498187,-1.0801741987568,-0.698149927849513
