model,term,rel_time,estimate,se,ci_lo,ci_hi
B_ols_pkey,event_time,-5,-0.106990861611941,0.053601799969427,-0.212050389552018,-0.00193133367186382
B_ols_pkey,event_time,-4,0.0277117210676005,0.0508672682964123,-0.0719881247933677,0.127411566928569
B_ols_pkey,event_time,-3,-0.0410772611631188,0.0412406471507097,-0.12190892957851,0.0397544072522721
B_ols_pkey,event_time,-2,0.0204385739425715,0.0362484320381384,-0.0506083528521797,0.0914855007373228
B_ols_pkey,event_time,0,-0.163035425671655,0.0337589502076869,-0.229202968078722,-0.0968678832645888
B_ols_pkey,event_time,1,-0.131807432581186,0.0370028970322375,-0.204333110764371,-0.0592817543980004
B_ols_pkey,event_time,2,-0.194437718583004,0.0446989030140536,-0.282047568490549,-0.106827868675459
B_ols_pkey,event_time,3,-0.0950122340548162,0.0479012332605993,-0.188898651245591,-0.00112581686404147
B_ols_pkey,event_time,4,-0.0553632813577378,0.0492179936898598,-0.151830548989863,0.0411039862743873
B_ols_pkey,event_time,5,-0.0675214566330657,0.0527771635338117,-0.170964697159337,0.0359217838932052
B_ols_pkey,ATT,,-0.0960797303800772,0.0413238714867199,-0.177074518494048,-0.0150849422661061
B_ols_pkey,ATT_post_k>=1,,-0.108828424641962,,,
