term,rel_time,estimate,se,ci_lo,ci_hi
event_time,-5,-0.026117015222748,0.0354070522660657,-0.0955148376642367,0.0432808072187407
event_time,-4,0.0372858025315873,0.0433140351505542,-0.0476097063634988,0.122181311426674
event_time,-3,-0.00627716431540499,0.042370510274435,-0.0893233644532976,0.0767690358224877
event_time,-2,-0.0329391047241567,0.0306426333777085,-0.0929986661444654,0.027120456696152
event_time,0,-0.121707631446541,0.0339770305951677,-0.18830261141307,-0.0551126514800127
event_time,1,-0.286963875492544,0.0619045622538259,-0.408296817510043,-0.165630933475045
event_time,2,-0.263047367193633,0.0666042141804753,-0.393591626987365,-0.132503107399901
event_time,3,-0.274303003847522,0.0767277096525875,-0.424689314766594,-0.123916692928451
event_time,4,-0.177514400900104,0.0516787215545636,-0.278804695147049,-0.0762241066531596
event_time,5,-0.297675015305339,0.0746332566616142,-0.443956198362103,-0.151393832248576
ATT,,-0.265450006166101,0.0591512734213946,-0.381386502072035,-0.149513510260168
ATT,,0.103155299856378,0.0276989107511136,0.0488654347841949,0.15744516492856
