term,estimate,se,stat,p,model
(Intercept),-34.8857765029936,0.235369511113029,-148.217058097388,0,1_OLS
ipd,-0.030158471303094,0.0143089893650455,-2.10765907596284,0.0350680018472555,1_OLS
log_dist,-1.20180925979439,0.0152962829428765,-78.5687126919994,0,1_OLS
contig,0.985673506331143,0.0801428791170761,12.2989530347572,1.09288834180877e-34,1_OLS
comlang_off,0.83665236224099,0.0325525279269369,25.7016095376319,2.9446819519577e-144,1_OLS
colony,1.1473422349234,0.0939839770328425,12.2078493712015,3.34480901706623e-34,1_OLS
log_gdp_exp,1.20145674627323,0.00476385212905137,252.202779122046,0,1_OLS
log_gdp_imp,0.932031581516332,0.00493550267974431,188.842280512067,0,1_OLS
rta,0.435816508433074,0.022401832456993,19.4545026291825,7.87015903984086e-84,1_OLS
ipd,0.0352218530789628,0.0297156310644127,1.18529715901421,0.235899976380536,2_PPML_sep
log_dist,-0.660078901592553,0.0291806941619219,-22.6203975111015,2.73009239246181e-113,2_PPML_sep
contig,0.527077214084804,0.070746439317693,7.45022956869841,9.31779511546632e-14,2_PPML_sep
comlang_off,0.0705226756021579,0.0613346858750192,1.14980087687839,0.250225894010018,2_PPML_sep
colony,0.450029919269736,0.15643459497242,2.87679281778482,0.0040173926867477,2_PPML_sep
log_gdp_exp,0.867377285656724,0.0689899900120816,12.57250922206,2.99078525618805e-36,2_PPML_sep
log_gdp_imp,0.891380661703064,0.0611972744630484,14.5656921737796,4.64258258093549e-48,2_PPML_sep
rta,0.285235265195034,0.0475948559154561,5.99298516002873,2.06023658659856e-09,2_PPML_sep
ipd,0.0512541101170087,0.0323722064201103,1.58327515436725,0.113358763311926,3_PPML_ctry_yr
log_dist,-0.660959793622091,0.0292140566270955,-22.6247180273165,2.47540515311119e-113,3_PPML_ctry_yr
contig,0.510377601132304,0.0706813181522894,7.22082743324974,5.16721913597279e-13,3_PPML_ctry_yr
comlang_off,0.0786975666781449,0.0608093330139995,1.29416921346641,0.195606978376181,3_PPML_ctry_yr
colony,0.43282185930715,0.151418271169848,2.85845199501484,0.00425713516961338,3_PPML_ctry_yr
rta,0.324075773250652,0.0505100989467804,6.41605896658631,1.39847297528643e-10,3_PPML_ctry_yr
ipd,-0.0662976130881273,0.031822670056163,-2.08334539405777,0.0372197518074434,4_PPML_3way
rta,0.114142707228916,0.023491730543591,4.8588462658004,1.1807176677636e-06,4_PPML_3way
ipd,-0.0662976130881273,0.0400537338001866,-1.65521679998329,0.0978805285957772,5_PPML_3way_MW
rta,0.114142707228916,0.0248547665959835,4.59238700907219,4.38204774434531e-06,5_PPML_3way_MW
