term,estimate,se,stat,p,model
ipd,-0.0662976130881273,0.031822670056163,-2.08334539405777,0.0372197518074434,Baseline
rta,0.114142707228916,0.023491730543591,4.8588462658004,1.1807176677636e-06,Baseline
ipd,-0.137862034724347,0.0402453360411021,-3.42554065354431,0.000613577102620319,IPD_sq
ipd_sq,0.0288410365385723,0.00918521490637138,3.1399413984932,0.00168981633692802,IPD_sq
rta,0.112615724290797,0.0235780212094565,4.77630091560144,1.78549148966458e-06,IPD_sq
ipd,-0.0677427498225153,0.0321371581853265,-2.10792595387124,0.0350373948425594,No_micro
rta,0.112117907745072,0.0237656591956132,4.71764350495134,2.38592098316686e-06,No_micro
ipd,-0.122889173068995,0.0371622183099782,-3.30683093360977,0.000943578221826323,Post_2002
rta,0.119322321350159,0.0237001890586211,5.03465694113334,4.78705348908042e-07,Post_2002
ipd,0.028270881174159,0.0176866054828076,1.59843454424535,0.109946301863608,Excl_US_CN_RU
rta,0.0738140683872087,0.020628760750709,3.57821147276972,0.000345953493582068,Excl_US_CN_RU
