model,period,estimate,se,ci_lo,ci_hi
PPML,1995-2007,0.058444009612358,0.0212511268196712,0.0167918010458024,0.100096218178914
PPML,2008-2013,0.0185491825678975,0.020186236727504,-0.0210158414180103,0.0581142065538054
PPML,2014-2017,-0.021435159189932,0.0186471947215248,-0.0579836608441206,0.0151133424642566
PPML,2018-2021,-0.0670445544661029,0.0213764571317541,-0.108942410444341,-0.0251466984878648
PPML,2022-2024,-0.0523328524830593,0.0221953289591177,-0.0958356972429299,-0.00883000772318865
CF-IV,1995-2007,0.164883242354563,0.0402230468067666,0.0860460706133008,0.243720414095826
CF-IV,2008-2013,0.129996625825241,0.0398192657531363,0.0519508649490937,0.208042386701388
CF-IV,2014-2017,0.0898953062154914,0.0385297235315096,0.0143770480937325,0.16541356433725
CF-IV,2018-2021,0.0441280698397019,0.0403625960228048,-0.0349826183649956,0.123238758044399
CF-IV,2022-2024,0.0521368643393832,0.0396019464035953,-0.0254829506116635,0.12975667929043
