instrument,coef,se,t,F_eff,p,N,fe
polyarchy_dist,0.214042779353425,0.00797008680157534,26.8557651481434,721.232121692233,5.96180778757576e-157,838286,pair_full
ideol_dist,0.00982659956506175,0.000916387889143311,10.7231879441883,114.986759686386,9.73533771672638e-27,254358,pair_full
allied_atop,0.07113805947593,0.0048854650167635,14.5611644401984,212.027509854499,6.79516774529503e-48,817916,pair_full
shared_ally_atop,0.00275758008211289,0.000116783975656406,23.6126580433094,557.557619870265,2.45237444797541e-122,817916,pair_full
shared_rival_mid,-0.0398215766161112,0.00307359503503288,-12.9560258141441,167.858604896769,2.64743075977085e-38,674276,pair_full
polyarchy_dist,1.09527331791093,0.0134898887479017,81.1921683254281,6592.16819738465,0,838286,no_pair
ideol_dist,0.0488487497106774,0.00301665802171956,16.1930021099417,262.213317332576,1.62272269158822e-58,254358,no_pair
allied_atop,-0.587273654617885,0.00930643014568104,-63.1040737882107,3982.12412866794,0,817916,no_pair
shared_ally_atop,-0.0158592962232329,0.000201904399537877,-78.5485420799746,6169.87346288954,0,817916,no_pair
shared_rival_mid,-0.633419528293147,0.0236491776504318,-26.7839980592975,717.382552040452,1.72083781138155e-156,674276,no_pair
polyarchy_dist,0.781358414434909,0.0130802374519713,59.7357974045915,3568.3654915624,0,838286,pair_region
ideol_dist,0.0387230300957384,0.00232392443069183,16.6627750818087,277.648073426946,7.96691841406292e-62,254358,pair_region
allied_atop,-0.410190264976863,0.0115657629746243,-35.4659062162035,1257.83050373654,7.93767335318944e-271,817916,pair_region
shared_ally_atop,-0.0123951528035836,0.000316677015306522,-39.1413086661372,1532.04204409783,0,817916,pair_region
shared_rival_mid,-0.388253410031915,0.0202328169370617,-19.1892909049519,368.22888543487,1.16742391487251e-81,674276,pair_region
