model,term,rel,estimate,se,lb,ub
normalized_per_tier,Placebo_1   ,-1,0.02703,0.02541,-0.02278,0.07684
normalized_per_tier,Placebo_2   ,-2,-0.02422,0.01608,-0.05575,0.0073
normalized_per_tier,Ref_0,0,0,,,
normalized_per_tier,Effect_1    ,1,-0.08388,0.02413,-0.13117,-0.0366
normalized_per_tier,Effect_2    ,2,-0.03865,0.01392,-0.06594,-0.01136
normalized_per_tier,Effect_3    ,3,-0.01827,0.01115,-0.04013,0.0036
normalized_per_tier,Effect_4    ,4,-0.02648,0.00895,-0.04401,-0.00894
normalized_per_tier,ATE,,-0.07968,0.0249,-0.12848,-0.03087
cross_ge1,Placebo_1   ,-1,0.00798,0.0311,-0.05298,0.06894
cross_ge1,Placebo_2   ,-2,-0.06562,0.03782,-0.13975,0.00851
cross_ge1,Ref_0,0,0,,,
cross_ge1,Effect_1    ,1,-0.13594,0.0288,-0.19239,-0.0795
cross_ge1,Effect_2    ,2,-0.12828,0.03177,-0.19054,-0.06602
cross_ge1,Effect_3    ,3,-0.2034,0.03697,-0.27585,-0.13094
cross_ge1,Effect_4    ,4,-0.18963,0.03924,-0.26654,-0.11271
cross_ge1,ATE,,-0.17632,0.03025,-0.23561,-0.11703
cross_ge2,Placebo_1   ,-1,0.02457,0.03537,-0.04476,0.0939
cross_ge2,Placebo_2   ,-2,-0.04156,0.04338,-0.12658,0.04346
cross_ge2,Ref_0,0,0,,,
cross_ge2,Effect_1    ,1,-0.08103,0.03451,-0.14866,-0.01339
cross_ge2,Effect_2    ,2,-0.10975,0.04233,-0.19272,-0.02679
cross_ge2,Effect_3    ,3,0.06014,0.05064,-0.03911,0.15939
cross_ge2,Effect_4    ,4,-0.09862,0.0518,-0.20014,0.0029
cross_ge2,ATE,,-0.06559,0.04172,-0.14736,0.01618
cross_ge6,Placebo_1   ,-1,0.00043,0.08535,-0.16686,0.16772
cross_ge6,Placebo_2   ,-2,-0.00801,0.11123,-0.22601,0.20999
cross_ge6,Ref_0,0,0,,,
cross_ge6,Effect_1    ,1,-0.17774,0.1104,-0.39412,0.03864
cross_ge6,Effect_2    ,2,-0.63413,0.18237,-0.99156,-0.27669
cross_ge6,Effect_3    ,3,-0.56783,0.20709,-0.97372,-0.16194
cross_ge6,Effect_4    ,4,-0.67068,0.22934,-1.12018,-0.22118
cross_ge6,ATE,,-0.43371,0.13105,-0.69056,-0.17687
