spec,geovar,term,coef,se,stat,p,n,collin,err,palier,mesure
spec1,polyarchy_dist,polyarchy_dist,-0.444418813756385,0.0474900557609011,-9.35814470283856,8.71462495419944e-21,616424,"","",D,polyarchy_dist
spec1,ipd,ipd,-0.069472638576642,0.0149176013995329,-4.65709176133485,3.22209092863148e-06,616424,"","",D,polyarchy_dist
spec2,polyarchy_dist,polyarchy_dist,0.128873031285661,0.0895056166082909,1.43983178005081,0.14991499760958,802186,"","",D,polyarchy_dist
spec2,ipd,ipd,0.0354961569177244,0.0297321365895711,1.1938649888409,0.232530784819462,802186,"","",D,polyarchy_dist
spec3,polyarchy_dist,polyarchy_dist,0.148257900306543,0.0902299194050879,1.64311240976441,0.100359677738807,828836,"","",D,polyarchy_dist
spec3,ipd,ipd,0.0514799366817125,0.0324156033992467,1.58812211661341,0.112258728071302,828836,"","",D,polyarchy_dist
spec4,polyarchy_dist,polyarchy_dist,-0.0407634379221788,0.0617035969462836,-0.66063309012059,0.508847642827654,805994,"","",D,polyarchy_dist
spec4,ipd,ipd,-0.0668724231568772,0.0319632812311911,-2.09216390123365,0.036423856482205,805994,"","",D,polyarchy_dist
spec5,polyarchy_dist,polyarchy_dist,-0.0407634379221788,0.0685332116005424,-0.594798302460644,0.551978302422737,805994,"","",D,polyarchy_dist
spec5,ipd,ipd,-0.0668724231568772,0.0401584187805105,-1.6652155435296,0.0958697610058646,805994,"","",D,polyarchy_dist
spec6,polyarchy_dist,polyarchy_dist,-0.219350660546044,0.148189367686671,-1.48020511842547,0.138818514896177,649836,"","",D,polyarchy_dist
spec6,ipd,ipd,-0.0128686423606829,0.0440872926305534,-0.29189005704026,0.770370685950035,649836,"","",D,polyarchy_dist
spec7,polyarchy_dist,polyarchy_dist,-0.0270289514043892,0.0634286220024901,-0.426131776965422,0.670011826306195,805701,"","",D,polyarchy_dist
spec7,ipd,ipd,-0.073444470345654,0.0324124964324511,-2.26593068814416,0.0234556273272156,805701,"","",D,polyarchy_dist
spec8,polyarchy_dist,pair_nato::non:polyarchy_dist,-0.023987705861708,0.0803430229172403,-0.298566135436766,0.765271107464105,805994,"","",D,polyarchy_dist
spec8,polyarchy_dist,pair_nato::inter:polyarchy_dist,-0.0832744451438103,0.0801300348752651,-1.0392413440658,0.298692506715613,805994,"","",D,polyarchy_dist
spec8,polyarchy_dist,pair_nato::intra:polyarchy_dist,0.014238094341776,0.109901020217972,0.129553795893221,0.89691946059692,805994,"","",D,polyarchy_dist
spec8,ipd,pair_nato::non:ipd,-0.0425312750002256,0.0413336716774148,-1.02897403676493,0.303491875438473,805994,"","",D,polyarchy_dist
spec8,ipd,pair_nato::inter:ipd,-0.0573616812502959,0.0378734173567291,-1.5145631224668,0.129883077124368,805994,"","",D,polyarchy_dist
spec8,ipd,pair_nato::intra:ipd,-0.153681412104896,0.0433055624762354,-3.54876841027595,0.000387037317214101,805994,"","",D,polyarchy_dist
spec9,polyarchy_dist,pair_nato::non:polyarchy_dist,-0.567213987965999,0.18217814242017,-3.1135128530282,0.00184874457330055,649836,"","",D,polyarchy_dist
spec9,polyarchy_dist,pair_nato::inter:polyarchy_dist,-0.114049206370469,0.1663238317178,-0.685705741579925,0.492898685411099,649836,"","",D,polyarchy_dist
spec9,polyarchy_dist,pair_nato::intra:polyarchy_dist,0.79012993657959,0.373747355686623,2.11407498824445,0.0345088630635078,649836,"","",D,polyarchy_dist
spec9,ipd,pair_nato::non:ipd,-0.00459820326467302,0.0619731617000409,-0.0741966867356064,0.940853882188189,649836,"","",D,polyarchy_dist
spec9,ipd,pair_nato::inter:ipd,-0.0158030189489194,0.0522351750732871,-0.302535962150934,0.762243523201444,649836,"","",D,polyarchy_dist
spec9,ipd,pair_nato::intra:ipd,-0.0210141421244483,0.0715825592701997,-0.293565113327775,0.769090237215821,649836,"","",D,polyarchy_dist
spec10,polyarchy_dist,period::1995-2007:polyarchy_dist,0.202602409259889,0.0676810962958155,2.99348592662226,0.00275810228537375,805994,"","",D,polyarchy_dist
spec10,polyarchy_dist,period::2008-2013:polyarchy_dist,0.146547782594695,0.0651109508312674,2.25073940287661,0.0244020475563172,805994,"","",D,polyarchy_dist
spec10,polyarchy_dist,period::2014-2017:polyarchy_dist,-0.013812660149736,0.0586774383330416,-0.23539984945045,0.813898402912347,805994,"","",D,polyarchy_dist
spec10,polyarchy_dist,period::2018-2021:polyarchy_dist,-0.145451371214679,0.0609775086371456,-2.38532820486658,0.0170638902017746,805994,"","",D,polyarchy_dist
spec10,polyarchy_dist,period::2022-2024:polyarchy_dist,-0.343372832867904,0.0864470466411766,-3.97205973146974,7.12538465206654e-05,805994,"","",D,polyarchy_dist
