spec,geovar,term,coef,se,stat,p,n,collin,err,base,fenetre,year_min,year_max
spec1,ipd,ipd,-0.10144882717055,0.0154216502995065,-6.57833793402751,4.84547212035024e-11,389116,"","",compoC_fixe,1995-2014,1995,2014
spec2,ipd,ipd,0.104392942750585,0.0314243017732495,3.32204494164613,0.000893602996395749,529562,"","",compoC_fixe,1995-2014,1995,2014
spec3,ipd,ipd,0.118121435121938,0.0330721563370195,3.57162786478844,0.000354769269216663,539830,"","",compoC_fixe,1995-2014,1995,2014
spec4,ipd,ipd,0.0415589074179726,0.0180286229914675,2.30516259825509,0.0211574687107647,512570,"","",compoC_fixe,1995-2014,1995,2014
spec5,ipd,ipd,0.0415589074179726,0.0210022023099978,1.978788072058,0.0478398720092266,512570,"","",compoC_fixe,1995-2014,1995,2014
spec6,ipd,ipd,0.136520483630774,0.0470573913123876,2.90114857248442,0.00371797552141173,380260,"","",compoC_fixe,1995-2014,1995,2014
spec7,ipd,ipd,0.035450026334008,0.0178138521163486,1.99002585754452,0.0465880871633667,512285,"","",compoC_fixe,1995-2014,1995,2014
rob1,ipd,ipd,-0.0406967131823682,0.0255042297470221,-1.59568485643524,0.110559171319119,512570,"","",compoC_fixe,1995-2014,1995,2014
rob1,ipd,I(ipd^2),0.0322359319373921,0.00727851521516985,4.42891592370461,9.47079314054886e-06,512570,"","",compoC_fixe,1995-2014,1995,2014
rob2,ipd,ipd,0.0423254632391149,0.018233799756392,2.32126401543251,0.0202725990875937,409160,"","",compoC_fixe,1995-2014,1995,2014
rob3,ipd,ipd,-0.0205579737711727,0.0192594834295373,-1.06742082914041,0.285781846875286,348782,"","",compoC_fixe,1995-2014,1995,2014
rob4,ipd,ipd,0.0520914750984451,0.0201844169978824,2.58077679944435,0.00985782937190129,493052,"","",compoC_fixe,1995-2014,1995,2014
spec1,ipd,ipd,-0.0889503225023399,0.0150493595479854,-5.91057195614995,3.44997549644333e-09,481648,"","",compoC_fixe,1995-2018,1995,2018
spec2,ipd,ipd,0.0854209406002039,0.0313275953546366,2.72669956417709,0.00639712558307056,640784,"","",compoC_fixe,1995-2018,1995,2018
spec3,ipd,ipd,0.0980423295032802,0.0331919838422551,2.95379540943459,0.00313892025582999,656110,"","",compoC_fixe,1995-2018,1995,2018
spec4,ipd,ipd,0.0418756944294781,0.0152800079083995,2.74055449974334,0.00613356089093435,631374,"","",compoC_fixe,1995-2018,1995,2018
spec5,ipd,ipd,0.0418756944294781,0.018159905009407,2.30594237182332,0.021113852616949,631374,"","",compoC_fixe,1995-2018,1995,2018
spec6,ipd,ipd,0.141551162230873,0.03952931597468,3.5809160553535,0.000342391655439211,487702,"","",compoC_fixe,1995-2018,1995,2018
