Panel,Variable,N,Mean,SD,Min,P25,Median,P75,Max
(A) All observations,trade_value,1593900,258485.249858881,3750251.22148929,0,0,2.612,2630.15525,563257884.059001
(A) All observations,strategic_trade_value,1593900,15616.2984726344,281672.535833287,0,0,0,0.631,37731812.737
(A) All observations,strategic_trade_share,870753,0.0323897172121415,0.116383374201303,0,0,0,0.0119272480805293,1
(A) All observations,ipd,1031492,0.896050084382865,0.722677129857547,7.49999999999362e-06,0.2789673,0.7297071,1.39553539,5.145046
(A) All observations,dist,1525320,8548.9043348281,4717.48301733939,0,4803,8172.5,12111,19923
(A) All observations,exp_gdp_real,1366890,329079192371.224,1466099376149.25,23553249.0963215,5188847371.00198,22001713149.7897,144482970559.889,22568462768174.3
(A) All observations,imp_gdp_real,1366890,329079192371.224,1466099376149.25,23553249.0963215,5188847371.00198,22001713149.7897,144482970559.889,22568462768174.3
(A) All observations,rta,1593900,0.220799297321036,0.414785577816443,0,0,0,0,1
(A) All observations,exp_nato,1593900,0.108658008658009,0.311209746917312,0,0,0,0,1
(A) All observations,imp_nato,1593900,0.108658008658009,0.311209746917312,0,0,0,0,1
(B) trade_value > 0,trade_value,870753,473153.281987051,5063899.86478005,0.001,60.787,1581.812,32134.061,563257884.059001
(B) trade_value > 0,strategic_trade_value,870753,28585.3946360587,380603.381805051,0,0,0,165.162,37731812.737
(B) trade_value > 0,strategic_trade_share,870753,0.0323897172121415,0.116383374201303,0,0,0,0.0119272480805293,1
(B) trade_value > 0,ipd,713658,0.949817653211496,0.740115578271988,7.49999999999362e-06,0.2930975,0.8333417,1.471795,5.085434
(B) trade_value > 0,dist,853865,7548.28341951011,4536.1281227642,8,3924,7119,10576,19923
(B) trade_value > 0,exp_gdp_real,817258,495426058172.071,1813555472329.92,23553249.0963215,11848547279.7459,50199902853.4782,285576361692.342,22568462768174.3
(B) trade_value > 0,imp_gdp_real,824825,482917809304.934,1799247775611.2,23553249.0963215,10927491025.4318,47333713938.692,264876940258.885,22568462768174.3
(B) trade_value > 0,rta,870753,0.336752213314223,0.47259963673791,0,0,0,1,1
(B) trade_value > 0,exp_nato,870753,0.1722199062191,0.377571680402251,0,0,0,0,1
(B) trade_value > 0,imp_nato,870753,0.166562733633993,0.372585223570809,0,0,0,0,1
