measure,type,coef,se,p,n,tier,signe_attendu,control,collin
polyarchy_dist,ipd_apparie,-0.0668724231568773,0.0319632812311912,0.0364238564822051,838286,tete,negatif,"",""
polyarchy_dist,mesure_alt,-0.040763437922178,0.0617035969462837,0.508847642827662,838286,tete,negatif,"",""
polity_dist,ipd_apparie,0.0409547037600094,0.0155746693616698,0.00854925989221439,563942,annexe,negatif,"",""
polity_dist,mesure_alt,0.00515808894008233,0.00202336109455778,0.0107949423583182,563942,annexe,negatif,"",""
allied_atop,ipd_apparie,0.042825140926353,0.0152408510605815,0.00495581728433313,817916,annexe,positif,"",""
allied_atop,mesure_alt,0.022787056036743,0.0248397026857934,0.358951782577369,817916,annexe,positif,"",""
shared_rival_mid,ipd_apparie,0.0427006063227034,0.0179451765641934,0.0173359891851364,674276,tete,negatif,mid_direct,""
shared_rival_mid,mesure_alt,0.0221832472578443,0.00829638944263382,0.00749874292009399,674276,tete,negatif,mid_direct,""
sanction_nontrade,ipd_apparie,-0.0225435747095563,0.0217556887235019,0.30010177064859,996710,tete,negatif,"",""
sanction_nontrade,mesure_alt,-0.0804905039112696,0.0198211945578269,4.88985424861909e-05,996710,tete,negatif,"",""
n_common_sanctioners,ipd_apparie,-0.0225435747095563,0.0217556887235019,0.30010177064859,996710,tete,negatif,"",""
n_common_sanctioners,mesure_alt,0.0732621124254682,0.0173517909529827,2.41967614124208e-05,996710,tete,negatif,"",""
