spec,N,ipd_coef,ipd_se,ipd_p,pseudo_r2
1_OLS,696295,-0.030158471303094,0.0143089893650455,0.0350680018472555,0.193276152717316
2_PPML_sep,989296,0.0352218530789628,0.0297156310644127,0.235899976380536,0.932797714509064
3_PPML_ctry_yr,1019488,0.0512541101170087,0.0323722064201103,0.113358763311926,0.939240995383045
4_PPML_3way,965872,-0.0662976130881273,0.031822670056163,0.0372197518074434,0.99024037749754
5_PPML_3way_MW,965872,-0.0662976130881273,0.0400537338001866,0.0978805285957772,0.99024037749754
6_Strategic,733288,-0.0125742689252496,0.0440332084681656,0.775212605215917,0.976117722631818
7_NonStrategic,965118,-0.0728282620639291,0.032263359175482,0.0239889842921302,0.989969846101465
8_x_NATO,965872,,,,0.990245702692165
9_x_NATO_strat,733288,,,,0.97611787409659
10_TimeVar,965872,,,,0.990491534494527
