term,estimate,se,stat,p,model
pair_nato::non:ipd,0.13208474163159,0.041718737274442,3.16607716965847,0.00154509797259721,Total_NATO_IV
pair_nato::inter:ipd,0.121644048118656,0.0392180361430294,3.10173736581344,0.00192388562598719,Total_NATO_IV
pair_nato::intra:ipd,0.0967808455390015,0.0539258016021321,1.79470388318113,0.0727008915379995,Total_NATO_IV
v_hat_nato,-0.142431745102728,0.0332931849918174,-4.2781051178412,1.88491009831942e-05,Total_NATO_IV
rta,0.0817778158893398,0.0204760053573561,3.99383641790076,6.50127250620788e-05,Total_NATO_IV
pair_nato::non:ipd,0.266005699301499,0.123281739887885,2.15770559000391,0.0309507290675108,Strategic_NATO_IV
pair_nato::inter:ipd,0.229964364954612,0.120665298159202,1.90580364415297,0.0566756859727381,Strategic_NATO_IV
pair_nato::intra:ipd,0.412476762964887,0.190019213002703,2.17071082679949,0.0299530382671319,Strategic_NATO_IV
v_hat_nato,-0.211312516070554,0.113956844433972,-1.8543205291455,0.063693316800762,Strategic_NATO_IV
rta,0.137262024681192,0.0507499090443719,2.70467528446565,0.00683711872487416,Strategic_NATO_IV
