term,est,se,F_eff,p,spec
polyarchy_dist,0.214042779353425,0.00797008680157533,721.232121692237,5.96180778756591e-157,S7
ideol_dist,0.00982659956506169,0.00091638788914331,114.986759686385,9.73533771673194e-27,S7_ideol
allied_atop,0.0711380594759303,0.00488546501676355,212.027509854496,6.79516774530253e-48,S7_allied
shared_rival_mid,-0.0398215766161105,0.00307359503503283,167.858604896769,2.64743075977112e-38,S7_rival
polity_dist,0.00352409057193509,0.000317749246667936,123.005651060417,1.61354320407368e-28,S7_polity
instrument_l2,0.28701399192515,0.0017029215328875,28406.4435574079,0,S8ter_existant
polyarchy_dist,0.1316991355115,0.0206351324881425,40.7334622041007,1.79609966371123e-10,S8a
ideol_dist,0.0098874678615121,0.000985251032472537,100.710875741827,1.26418619449742e-23,S8a
allied_atop,0.0768878450503511,0.00506267824721018,230.650671706528,6.23732208628572e-52,S8b
shared_rival_mid,-0.038487088463939,0.00307559228813461,156.593088441397,7.46338235488155e-36,S8b
polyarchy_dist,0.283415988168611,0.0261534295379991,117.433336219735,3.00172543684491e-27,S8c
ideol_dist,0.00760502276379474,0.00109585530498831,48.1609015308094,4.10903758434586e-12,S8c
allied_atop,0.0602269270549487,0.0127887086026716,22.1782883655781,2.50988775011369e-06,S8c
shared_rival_mid,-0.0187171695893824,0.00457606117499241,16.7300295224934,4.33483089970119e-05,S8c
polity_dist,0.00717357035126767,0.00106739375671607,45.1670167949874,1.89093456609543e-11,S8bis
ideol_dist,0.011739325503815,0.00109204699672399,115.558961913957,7.85925695351429e-27,S8bis
polyarchy_dist,0.271171161736938,0.0307446369211307,77.7943875656139,1.32148648848855e-18,S7_common
ideol_dist,0.0106088132542463,0.00116509394408513,82.9109171909085,1.01139873401978e-19,S7_ideol_common
allied_atop,0.0445964233483676,0.012605891254428,12.5156366498637,0.000405274577888865,S7_allied_common
shared_rival_mid,-0.0272488217342974,0.00404680163753534,45.3389670330336,1.74236961364994e-11,S7_rival_common
polity_dist,0.0051968373796695,0.00114100133628085,20.7446421693908,5.30598785081729e-06,S7_polity_common
instrument_l2,0.275332234549895,0.00406323359118932,4591.66862990624,0,S8ter_existant_common
